hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
valentina,1984,359,321,680,0.3427,0.5279,0.4721,ONIC Esports,33,0.04852941176470588,503,0.689,574,0.7166,1077,0.8259,Blacklist Intl.,67,37.0,0.5522,1757,0.8856,521,556,0.4838,1065,1038,RSG Slate SG,6,6.0,1.0
joy,1984,454,870,1324,0.6673,0.3429,0.6571,ONIC Esports,76,0.05740181268882175,188,0.3608,139,0.2945,327,0.4955,ONIC Esports,22,19.0,0.8636,1651,0.8322,174,153,0.5321,1073,1020,Dewa United Esports,4,4.0,1.0
fredrinn,1984,233,259,492,0.248,0.4736,0.5264,ECHO,42,0.08536585365853659,590,0.625,548,0.6075,1138,0.7627,Blacklist Intl.,68,47.0,0.6912,1630,0.8216,597,541,0.5246,1042,1074,Geekay Esports,1,1.0,1.0
kaja,1984,555,375,930,0.4688,0.5968,0.4032,ECHO,52,0.05591397849462366,249,0.3172,269,0.3342,518,0.4915,ECHO,37,24.0,0.6486,1448,0.7298,293,225,0.5656,1039,1066,RSG Slate SG,9,9.0,1.0
fanny,1984,613,464,1077,0.5428,0.5692,0.4308,ONIC Esports,114,0.10584958217270195,95,0.1139,73,0.0899,168,0.1852,ONIC Esports,15,10.0,0.6667,1245,0.6275,82,86,0.4881,1176,1127,Rebellion Zion,6,6.0,1.0
claude,1984,298,246,544,0.2742,0.5478,0.4522,Rex Regum Qeon,56,0.10294117647058823,308,0.2792,337,0.2977,645,0.4479,ONIC Esports,51,37.0,0.7255,1189,0.5993,322,323,0.4992,1103,1042,MPX NSEA,7,7.0,1.0
wanwan,1984,272,665,937,0.4723,0.2903,0.7097,ECHO,64,0.06830309498399147,108,0.1139,99,0.1054,207,0.1977,ONIC Esports,21,16.0,0.7619,1144,0.5766,113,94,0.5459,1040,1101,Bren Esports,3,3.0,1.0
faramis,1984,324,226,550,0.2772,0.5891,0.4109,Blacklist Intl.,28,0.05090909090909091,297,0.2494,243,0.2137,540,0.3766,Blacklist Intl.,33,18.0,0.5455,1090,0.5494,295,245,0.5463,1083,1048,Revival,4,4.0,1.0
yve,1984,297,284,581,0.2928,0.5112,0.4888,Rebellion Zion,28,0.04819277108433735,242,0.2092,246,0.2119,488,0.3478,ECHO,28,20.0,0.7143,1069,0.5388,258,230,0.5287,1060,1057,Indonesia,4,4.0,1.0
kadita,1984,411,325,736,0.371,0.5584,0.4416,ONIC Esports,91,0.12364130434782608,161,0.1488,166,0.1527,327,0.262,ONIC Esports,33,30.0,0.9091,1063,0.5358,183,144,0.5596,1017,1075,Team Occupy,6,6.0,1.0
martis,1984,224,147,371,0.187,0.6038,0.3962,HomeBois,25,0.0673854447439353,295,0.2323,343,0.2602,638,0.3955,Team SMG,27,21.0,0.7778,1009,0.5086,287,351,0.4498,1048,1064,Indonesia,2,2.0,1.0
beatrix,1984,114,121,235,0.1184,0.4851,0.5149,ECHO,13,0.05531914893617021,352,0.2502,342,0.2448,694,0.3968,ONIC Esports,32,25.0,0.7812,929,0.4682,351,343,0.5058,1075,1087,Deus Vult,3,3.0,1.0
arlott,1984,241,221,462,0.2329,0.5216,0.4784,TODAK,26,0.05627705627705628,217,0.1697,243,0.1862,460,0.3022,Blacklist Intl.,30,17.0,0.5667,922,0.4647,218,242,0.4739,1048,1048,RSG Slate SG,3,3.0,1.0
terizla,1984,169,188,357,0.1799,0.4734,0.5266,Alter Ego,23,0.06442577030812324,270,0.2019,290,0.2137,560,0.3442,Blacklist Intl.,30,17.0,0.5667,917,0.4622,290,270,0.5179,1080,1065,Geekay Esports,2,2.0,1.0
pharsa,1984,146,116,262,0.1321,0.5573,0.4427,Blacklist Intl.,16,0.061068702290076333,263,0.1893,333,0.2282,596,0.3461,ECHO,35,24.0,0.6857,858,0.4325,285,311,0.4782,1058,1098,Brazil,2,2.0,1.0
gloo,1984,224,239,463,0.2334,0.4838,0.5162,Bigetron Alpha,18,0.038876889848812095,185,0.136,161,0.1205,346,0.2275,Blacklist Intl.,21,13.0,0.619,809,0.4078,193,153,0.5578,1066,1055,Team Flash,7,7.0,1.0
yu zhong,1984,186,175,361,0.182,0.5152,0.4848,ECHO,56,0.15512465373961218,222,0.1562,202,0.1442,424,0.2612,ECHO,38,29.0,0.7632,785,0.3957,215,209,0.5071,1069,1081,Bleed Esports,3,3.0,1.0
lancelot,1984,204,179,383,0.193,0.5326,0.4674,ECHO,30,0.0783289817232376,181,0.1306,215,0.1514,396,0.2473,ONIC Esports,22,16.0,0.7273,779,0.3926,180,216,0.4545,1060,1066,HomeBois SG,2,2.0,1.0
baxia,1984,210,190,400,0.2016,0.525,0.475,Blacklist Intl.,37,0.0925,186,0.1333,189,0.1352,375,0.2367,Blacklist Intl.,25,11.0,0.44,775,0.3906,189,186,0.504,1088,1038,Geekay Esports,2,2.0,1.0
angela,1984,236,300,536,0.2702,0.4403,0.5597,Bigetron Alpha,34,0.06343283582089553,124,0.0927,110,0.0831,234,0.1616,Bigetron Alpha,17,12.0,0.7059,770,0.3881,101,133,0.4316,1055,1002,HomeBois,2,2.0,1.0
edith,1984,184,154,338,0.1704,0.5444,0.4556,Blacklist Intl.,27,0.07988165680473373,216,0.1504,210,0.1469,426,0.2588,Blacklist Intl.,21,14.0,0.6667,764,0.3851,216,210,0.507,1077,1081,Team Lunatix,5,5.0,1.0
grock,1984,119,126,245,0.1235,0.4857,0.5143,Red Giants Esports,15,0.061224489795918366,228,0.1547,265,0.1754,493,0.2835,Bigetron Alpha,33,19.0,0.5758,738,0.372,223,270,0.4523,1056,1087,RSG Singapore,3,3.0,1.0
paquito,1984,201,189,390,0.1966,0.5154,0.4846,Bigetron Alpha,47,0.12051282051282051,176,0.1233,167,0.1178,343,0.2152,Bigetron Alpha,21,16.0,0.7619,733,0.3695,190,153,0.5539,1044,1098,Bleed Esports,3,3.0,1.0
khufra,1984,148,128,276,0.1391,0.5362,0.4638,ONIC Esports,20,0.07246376811594203,247,0.1644,206,0.141,453,0.2652,Team SMG,26,15.0,0.5769,729,0.3674,205,248,0.4525,1092,1054,Philippines,5,5.0,1.0
karrie,1984,126,131,257,0.1295,0.4903,0.5097,Blacklist Intl.,17,0.06614785992217899,252,0.1661,210,0.1424,462,0.2675,ECHO,37,23.0,0.6216,719,0.3624,239,223,0.5173,1068,1003,ONIC Esports,8,8.0,1.0
franco,1984,233,184,417,0.2102,0.5588,0.4412,ECHO,29,0.06954436450839328,161,0.1124,134,0.0953,295,0.1883,ECHO,16,11.0,0.6875,712,0.3589,151,144,0.5119,1009,1104,ONIC Esports,8,8.0,1.0
akai,1984,183,124,307,0.1547,0.5961,0.4039,Blacklist Intl.,31,0.10097719869706841,198,0.1332,190,0.1285,388,0.2314,ECHO,31,20.0,0.6452,695,0.3503,197,191,0.5077,1096,1111,Indonesia,4,4.0,1.0
brody,1984,120,124,244,0.123,0.4918,0.5082,Blacklist Intl.,23,0.0942622950819672,225,0.148,220,0.1452,445,0.2557,Blacklist Intl.,35,20.0,0.5714,689,0.3473,209,236,0.4697,1053,1080,Philippines,7,7.0,1.0
novaria,1984,146,115,261,0.1316,0.5594,0.4406,Blacklist Intl.,19,0.07279693486590039,200,0.1288,170,0.1116,370,0.2147,Blacklist Intl.,27,16.0,0.5926,631,0.318,190,180,0.5135,1097,1066,Philippines,7,7.0,1.0
bruno,1984,125,132,257,0.1295,0.4864,0.5136,HomeBois,15,0.058365758754863814,170,0.111,196,0.1259,366,0.2119,Blacklist Intl.,25,17.0,0.68,623,0.314,203,163,0.5546,1008,1092,Niightmare,2,2.0,1.0
chou,1984,108,102,210,0.1058,0.5143,0.4857,ECHO,40,0.19047619047619047,180,0.1136,189,0.1186,369,0.208,ECHO,32,20.0,0.625,579,0.2918,185,184,0.5014,1066,1086,RSG Malaysia,2,2.0,1.0
mathilda,1984,130,248,378,0.1905,0.3439,0.6561,Blacklist Intl.,38,0.10052910052910052,116,0.0759,78,0.0523,194,0.1208,Blacklist Intl.,24,14.0,0.5833,572,0.2883,104,90,0.5361,1051,1103,TODAK,2,2.0,1.0
melissa,1984,151,107,258,0.13,0.5853,0.4147,Bigetron Alpha,24,0.09302325581395349,146,0.0931,158,0.1,304,0.1761,Bigetron Alpha,19,10.0,0.5263,562,0.2833,145,159,0.477,1060,1069,Team Occupy,4,4.0,1.0
lapu-lapu,1984,67,51,118,0.0595,0.5678,0.4322,Blacklist Intl.,10,0.0847457627118644,211,0.1284,223,0.1347,434,0.2326,ECHO,26,15.0,0.5769,552,0.2782,193,241,0.4447,1096,1071,Team Occupy,4,4.0,1.0
irithel,1984,66,78,144,0.0726,0.4583,0.5417,Triple Esports,11,0.0763888888888889,179,0.1098,210,0.1264,389,0.2114,Geek Fam ID,17,10.0,0.5882,533,0.2686,200,189,0.5141,1079,1038,HomeBois SG,2,2.0,1.0
diggie,1984,210,159,369,0.186,0.5691,0.4309,Blacklist Intl.,69,0.18699186991869918,49,0.0315,61,0.039,110,0.0681,Blacklist Intl.,17,12.0,0.7059,479,0.2414,64,46,0.5818,1054,1053,Deus Vult,4,4.0,1.0
minotaur,1984,101,103,204,0.1028,0.4951,0.5049,AP.Bren,23,0.11274509803921569,102,0.0614,120,0.0715,222,0.1247,AP.Bren,23,15.0,0.6522,426,0.2147,105,117,0.473,1061,1062,Vanguard Esports,3,3.0,1.0
ling,1984,145,120,265,0.1336,0.5472,0.4528,ONIC Esports,48,0.1811320754716981,48,0.0292,74,0.0443,122,0.071,ONIC Esports,15,12.0,0.8,387,0.1951,58,64,0.4754,1070,1010,Bren Esports,2,2.0,1.0
lylia,1984,61,68,129,0.065,0.4729,0.5271,Blacklist Intl.,13,0.10077519379844961,152,0.0859,86,0.0505,238,0.1283,Geek Fam ID,13,5.0,0.3846,367,0.185,122,116,0.5126,1083,1077,HomeBois SG,4,4.0,1.0
uranus,1984,95,105,200,0.1008,0.475,0.525,AP.Bren,13,0.065,85,0.0498,78,0.0459,163,0.0914,Bigetron Alpha,14,6.0,0.4286,363,0.183,68,95,0.4172,1032,1084,Geek Fam ID,5,5.0,1.0
lolita,1984,78,62,140,0.0706,0.5571,0.4429,Blacklist Intl.,7,0.05,100,0.0579,118,0.0677,218,0.1182,Blacklist Intl.,16,8.0,0.5,358,0.1804,105,113,0.4817,1066,1039,RSG Slate SG,4,4.0,1.0
hayabusa,1984,112,97,209,0.1053,0.5359,0.4641,ONIC Esports,36,0.1722488038277512,74,0.0432,64,0.0376,138,0.0777,ONIC Esports,19,15.0,0.7895,347,0.1749,69,69,0.5,1098,1031,Team Occupy,3,3.0,1.0
x.borg,1984,70,84,154,0.0776,0.4545,0.5455,Team SMG,12,0.07792207792207792,83,0.0476,85,0.0487,168,0.0918,Team SMG,12,8.0,0.6667,322,0.1623,91,77,0.5417,1092,1091,Geekay Esports,3,3.0,1.0
benedetta,1984,57,49,106,0.0534,0.5377,0.4623,Blacklist Intl.,24,0.22641509433962265,92,0.0518,103,0.0577,195,0.1038,Team SMG,23,17.0,0.7391,301,0.1517,86,109,0.441,1071,1087,Bleed Esports,2,2.0,1.0
nolan,1984,86,142,228,0.1149,0.3772,0.6228,AP.Bren,34,0.14912280701754385,37,0.0212,7,0.0041,44,0.0251,AP.Bren,6,6.0,1.0,272,0.1371,28,16,0.6364,1097,1051,AP.Bren,6,6.0,1.0
khaleed,1984,73,63,136,0.0685,0.5368,0.4632,RSG Singapore,36,0.2647058823529412,52,0.029,53,0.0295,105,0.0568,Geek Fam ID,10,8.0,0.8,241,0.1215,66,39,0.6286,1066,1053,Blacklist Intl.,4,4.0,1.0
harith,1984,66,59,125,0.063,0.528,0.472,ONIC Esports,15,0.12,59,0.0326,50,0.0278,109,0.0586,ECHO,14,10.0,0.7143,234,0.1179,48,61,0.4404,1018,1024,Red Giants Esports,3,3.0,1.0
guinevere,1984,35,93,128,0.0645,0.2734,0.7266,Blacklist Intl.,18,0.140625,46,0.0255,50,0.0276,96,0.0517,RSG Philippines,9,3.0,0.3333,224,0.1129,51,45,0.5312,1029,1049,ONIC Esports,6,6.0,1.0
ixia,1984,62,66,128,0.0645,0.4844,0.5156,ECHO,17,0.1328125,50,0.0276,43,0.0238,93,0.0501,ECHO,10,6.0,0.6,221,0.1114,48,45,0.5161,1055,1135,Bigetron Sons,5,5.0,1.0
hilda,1984,54,70,124,0.0625,0.4355,0.5645,Bigetron Alpha,9,0.07258064516129033,43,0.0237,47,0.0259,90,0.0484,ONIC Esports,8,7.0,0.875,214,0.1079,43,47,0.4778,1107,994,TheOhioBrothers,2,2.0,1.0
ruby,1984,29,30,59,0.0297,0.4915,0.5085,Geek Fam ID,10,0.1694915254237288,77,0.0414,67,0.0363,144,0.0748,Geek Fam ID,15,11.0,0.7333,203,0.1023,69,75,0.4792,1086,1020,Team Flash,6,6.0,1.0
estes,1984,59,67,126,0.0635,0.4683,0.5317,Blacklist Intl.,55,0.4365079365079365,43,0.0235,28,0.0154,71,0.0382,Blacklist Intl.,27,18.0,0.6667,197,0.0993,40,31,0.5634,981,1018,Alter Ego,5,5.0,1.0
