hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
atlas,1984,60,64,124,0.0625,0.4839,0.5161,ECHO,13,0.10483870967741936,22,0.0121,44,0.0239,66,0.0355,EVOS Legends,7,4.0,0.5714,190,0.0958,36,30,0.5455,1001,991,Bigetron Alpha,5,5.0,1.0
rafaela,1984,38,29,67,0.0338,0.5672,0.4328,Triple Esports,8,0.11940298507462686,50,0.027,67,0.0359,117,0.061,Geek Fam ID,15,8.0,0.5333,184,0.0927,52,65,0.4444,1114,1120,ONIC Esports,3,3.0,1.0
dyrroth,1984,33,26,59,0.0297,0.5593,0.4407,ONIC Esports,12,0.2033898305084746,50,0.0266,44,0.0235,94,0.0488,ONIC Esports,17,16.0,0.9412,153,0.0771,55,39,0.5851,1074,1021,AP.Bren,3,3.0,1.0
gord,1984,21,22,43,0.0217,0.4884,0.5116,Blacklist Intl.,5,0.11627906976744186,43,0.0228,56,0.0295,99,0.051,HomeBois,9,6.0,0.6667,142,0.0716,52,47,0.5253,1104,1190,AP.Bren,3,3.0,1.0
floryn,1984,33,34,67,0.0338,0.4925,0.5075,MPX NSEA,7,0.1044776119402985,36,0.0191,36,0.0191,72,0.0376,Blacklist Intl.,8,5.0,0.625,139,0.0701,29,43,0.4028,1055,994,EVOS Icon,2,2.0,1.0
natalia,1984,62,44,106,0.0534,0.5849,0.4151,Geek Slate,31,0.29245283018867924,15,0.008,14,0.0075,29,0.0154,Geek Slate,6,6.0,1.0,135,0.068,16,13,0.5517,1180,942,Geek Slate,6,6.0,1.0
helcurt,1984,36,42,78,0.0393,0.4615,0.5385,HomeBois,16,0.20512820512820512,16,0.0085,32,0.0169,48,0.0252,HomeBois,6,5.0,0.8333,126,0.0635,29,19,0.6042,905,994,EVOS Legends,2,2.0,1.0
lesley,1984,30,47,77,0.0388,0.3896,0.6104,Blacklist Intl.,6,0.07792207792207792,26,0.0138,22,0.0117,48,0.0252,BURN x FLASH,5,2.0,0.4,125,0.063,21,27,0.4375,1076,1011,Blacklist Intl.,2,2.0,1.0
lunox,1984,15,15,30,0.0151,0.5,0.5,Team Occupy,7,0.23333333333333334,38,0.02,51,0.0266,89,0.0455,Team Occupy,10,7.0,0.7,119,0.06,45,44,0.5056,965,1048,RSG Slate MY,2,2.0,1.0
minsitthar,1984,35,34,69,0.0348,0.5072,0.4928,Team Occupy,9,0.13043478260869565,25,0.0132,21,0.0111,46,0.024,EVOS Legends,5,3.0,0.6,115,0.058,24,22,0.5217,1047,988,HomeBois,3,3.0,1.0
esmeralda,1984,18,18,36,0.0181,0.5,0.5,RSG Philippines,4,0.1111111111111111,38,0.0198,33,0.0173,71,0.0364,Bigetron Alpha,8,4.0,0.5,107,0.0539,32,39,0.4507,990,1040,RRQ Akira,2,2.0,1.0
barats,1984,28,12,40,0.0202,0.7,0.3,Blacklist Intl.,14,0.35,35,0.0183,30,0.0157,65,0.0334,Blacklist Intl.,9,4.0,0.4444,105,0.0529,29,36,0.4462,1104,903,Egypt,2,2.0,1.0
phoveus,1984,45,22,67,0.0338,0.6716,0.3284,RSG Singapore,7,0.1044776119402985,10,0.0053,25,0.0131,35,0.0183,AP.Bren,6,4.0,0.6667,102,0.0514,21,14,0.6,957,1161,RSG Singapore,4,4.0,1.0
moskov,1984,15,18,33,0.0166,0.4545,0.5455,SMG SG,7,0.21212121212121213,37,0.0193,32,0.0167,69,0.0354,Blacklist Intl.,8,4.0,0.5,102,0.0514,32,37,0.4638,1031,1051,RSG Slate SG,3,3.0,1.0
masha,1984,21,23,44,0.0222,0.4773,0.5227,ONIC Esports,12,0.2727272727272727,20,0.0104,24,0.0125,44,0.0227,ONIC Esports,14,11.0,0.7857,88,0.0444,24,20,0.5455,1066,1091,HomeBois,2,2.0,1.0
clint,1984,7,6,13,0.0066,0.5385,0.4615,Okami Esports,2,0.15384615384615385,36,0.0185,30,0.0155,66,0.0335,AP.Bren,9,5.0,0.5556,79,0.0398,24,42,0.3636,997,1044,Philippines,2,2.0,1.0
hanzo,1984,24,20,44,0.0222,0.5455,0.4545,TNC Pro Team,6,0.13636363636363635,8,0.0041,9,0.0047,17,0.0088,Bigetron Alpha,3,1.0,0.3333,61,0.0307,5,12,0.2941,916,1234,Red Giants Esports,1,1.0,1.0
karina,1984,12,8,20,0.0101,0.6,0.4,Nexplay EVOS,2,0.1,15,0.0077,24,0.0123,39,0.0199,Nexplay EVOS,6,3.0,0.5,59,0.0297,15,24,0.3846,991,1080,The Valley,2,2.0,1.0
xavier,1984,6,7,13,0.0066,0.4615,0.5385,Alchemy SG,3,0.23076923076923078,17,0.0087,26,0.0133,43,0.0218,Blacklist Intl.,7,2.0,0.2857,56,0.0282,14,29,0.3256,1140,996,ECHO,2,2.0,1.0
badang,1984,19,12,31,0.0156,0.6129,0.3871,RSG Singapore,21,0.6774193548387096,11,0.0057,8,0.0041,19,0.0097,RSG Slate SG,10,9.0,0.9,50,0.0252,12,7,0.6316,989,1145,AURA Fire,2,2.0,1.0
alice,1984,8,11,19,0.0096,0.4211,0.5789,Senegal,4,0.21052631578947367,12,0.0062,14,0.0072,26,0.0132,Bigetron Alpha,8,4.0,0.5,45,0.0227,12,14,0.4615,1030,1061,Bleed Esports,2,2.0,1.0
thamuz,1984,3,2,5,0.0025,0.6,0.4,AP.Bren,1,0.2,21,0.0107,19,0.0097,40,0.0202,ONIC Esports,4,2.0,0.5,45,0.0227,18,22,0.45,948,1005,The Valley,2,2.0,1.0
tigreal,1984,13,4,17,0.0086,0.7647,0.2353,ONIC Esports,6,0.35294117647058826,15,0.0077,12,0.0061,27,0.0137,Fire Flux Esports,6,4.0,0.6667,44,0.0222,14,13,0.5185,1086,1060,Blacklist Intl.,2,2.0,1.0
valir,1984,3,8,11,0.0055,0.2727,0.7273,ECHO,3,0.2727272727272727,20,0.0102,9,0.0046,29,0.0147,Evil,5,3.0,0.6,40,0.0202,12,17,0.4138,988,1057,ECHO,3,3.0,1.0
bane,1984,4,3,7,0.0035,0.5714,0.4286,Bigetron Alpha,2,0.2857142857142857,18,0.0092,13,0.0066,31,0.0157,ONIC Esports,6,4.0,0.6667,38,0.0192,14,17,0.4516,1133,1024,ECHO,3,3.0,1.0
luo yi,1984,12,8,20,0.0101,0.6,0.4,Axe,13,0.65,9,0.0046,8,0.0041,17,0.0087,Axe,8,4.0,0.5,37,0.0186,6,11,0.3529,1036,980,Axe,8,4.0,0.5
kagura,1984,2,2,4,0.002,0.5,0.5,Bleed Esports,2,0.5,17,0.0087,15,0.0076,32,0.0162,Bleed Esports,4,2.0,0.5,36,0.0181,12,20,0.375,1111,1068,Bigetron Alpha,1,1.0,1.0
julian,1984,1,4,5,0.0025,0.2,0.8,Bren Esports,2,0.4,14,0.0071,13,0.0066,27,0.0136,Bren Esports,3,2.0,0.6667,32,0.0161,14,13,0.5185,916,976,TODAK,2,2.0,1.0
alpha,1984,4,1,5,0.0025,0.8,0.2,RSG Singapore,3,0.6,8,0.0041,15,0.0076,23,0.0116,Imperio,4,1.0,0.25,28,0.0141,10,13,0.4348,1115,910,Bleed Esports,2,2.0,1.0
cecilion,1984,2,1,3,0.0015,0.6667,0.3333,Curse Squad,1,0.3333333333333333,14,0.0071,11,0.0056,25,0.0126,Bigetron Alpha,4,2.0,0.5,28,0.0141,9,16,0.36,1107,1050,Team Secret,1,1.0,1.0
balmond,1984,6,4,10,0.005,0.6,0.4,Axe,4,0.4,7,0.0036,7,0.0036,14,0.0071,Team Occupy,3,2.0,0.6667,24,0.0121,9,5,0.6429,1107,1030,Axe,2,2.0,1.0
leomord,1984,3,0,3,0.0015,1.0,0.0,Fire Flux Esports,1,0.3333333333333333,12,0.0061,8,0.0041,20,0.0101,HomeBois,5,3.0,0.6,23,0.0116,10,10,0.5,922,1063,ONIC Esports,2,2.0,1.0
yi sun-shin,1984,7,7,14,0.0071,0.5,0.5,Imperio,13,0.9285714285714286,3,0.0015,5,0.0025,8,0.0041,Imperio,6,5.0,0.8333,22,0.0111,5,3,0.625,1021,1054,Imperio,6,5.0,0.8333
natan,1984,3,0,3,0.0015,1.0,0.0,Bren Esports,1,0.3333333333333333,11,0.0056,4,0.002,15,0.0076,Bren Esports,4,1.0,0.25,18,0.0091,4,11,0.2667,729,1023,ECHO,1,1.0,1.0
aamon,1984,3,1,4,0.002,0.75,0.25,Incendio Supremacy,2,0.5,3,0.0015,9,0.0046,12,0.0061,Fire Flux Impunity,3,2.0,0.6667,16,0.0081,5,7,0.4167,944,986,Incendio Supremacy,1,1.0,1.0
popol and kupa,1984,3,1,4,0.002,0.75,0.25,Blacklist Intl.,2,0.5,4,0.002,5,0.0025,9,0.0045,TODAK,4,1.0,0.25,13,0.0066,2,7,0.2222,672,1141,Blacklist Intl.,3,1.0,0.3333
granger,1984,0,0,0,0.0,0.0,0.0,,0,0.0,6,0.003,7,0.0035,13,0.0066,Falcon Esports,4,2.0,0.5,13,0.0066,4,9,0.3077,981,946,S11 Gaming,1,1.0,1.0
hylos,1984,3,1,4,0.002,0.75,0.25,Rebellion Zion,2,0.5,4,0.002,3,0.0015,7,0.0035,Bleed Esports,2,1.0,0.5,11,0.0055,4,3,0.5714,1432,842,Alter Ego,1,1.0,1.0
selena,1984,1,1,2,0.001,0.5,0.5,Nexplay EVOS,2,1.0,7,0.0035,1,0.0005,8,0.004,AURA Fire,2,1.0,0.5,10,0.005,2,6,0.25,1032,847,Nexplay EVOS,1,1.0,1.0
gusion,1984,1,0,1,0.0005,1.0,0.0,Umbrella Squad,1,1.0,5,0.0025,1,0.0005,6,0.003,ECHO,2,2.0,1.0,7,0.0035,6,0,1.0,886,0,ECHO,2,2.0,1.0
hanabi,1984,0,1,1,0.0005,0.0,1.0,Namibia,1,1.0,1,0.0005,4,0.002,5,0.0025,Georgia,3,2.0,0.6667,6,0.003,2,3,0.4,700,1058,Georgia,3,2.0,0.6667
jawhead,1984,0,0,0,0.0,0.0,0.0,,0,0.0,4,0.002,2,0.001,6,0.003,Omega Esports,1,1.0,1.0,6,0.003,2,4,0.3333,962,1062,Omega Esports,1,1.0,1.0
eudora,1984,1,0,1,0.0005,1.0,0.0,Team HAQ,1,1.0,0,0.0,3,0.0015,3,0.0015,Team HAQ,2,1.0,0.5,4,0.002,1,2,0.3333,996,666,Team HAQ,2,1.0,0.5
roger,1984,0,1,1,0.0005,0.0,1.0,The Valley,1,1.0,1,0.0005,2,0.001,3,0.0015,Imperio,2,1.0,0.5,4,0.002,1,2,0.3333,899,960,Imperio,2,1.0,0.5
aldous,1984,1,0,1,0.0005,1.0,0.0,Blacklist Intl.,1,1.0,2,0.001,1,0.0005,3,0.0015,Blacklist Intl.,2,0.0,0.0,4,0.002,0,3,0.0,0,922,Blacklist Intl.,2,0.0,0.0
cyclops,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,2,0.001,3,0.0015,RSG Singapore,3,3.0,1.0,3,0.0015,3,0,1.0,749,0,RSG Singapore,3,3.0,1.0
nana,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,2,0.001,3,0.0015,HomeBois SG,3,2.0,0.6667,3,0.0015,2,1,0.6667,1454,846,HomeBois SG,3,2.0,0.6667
odette,1984,0,0,0,0.0,0.0,0.0,,0,0.0,2,0.001,1,0.0005,3,0.0015,AP.Bren,2,1.0,0.5,3,0.0015,2,1,0.6667,804,709,HomeBois,1,1.0,1.0
yin,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,2,0.001,3,0.0015,Red Giants Esports,2,1.0,0.5,3,0.0015,1,2,0.3333,955,758,Red Giants Esports,2,1.0,0.5
vale,1984,0,1,1,0.0005,0.0,1.0,Team Falcons,1,1.0,0,0.0,1,0.0005,1,0.0005,RED Esports MY,1,0.0,0.0,2,0.001,0,1,0.0,0,858,RED Esports MY,1,0.0,0.0
saber,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,2,0.001,2,0.001,Geek Fam ID,1,1.0,1.0,2,0.001,1,1,0.5,1329,934,Geek Fam ID,1,1.0,1.0
zilong,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,2,0.001,2,0.001,TNC Pro Team,1,0.0,0.0,2,0.001,0,2,0.0,0,1158,TNC Pro Team,1,0.0,0.0
johnson,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,2,0.001,2,0.001,AURA Fire,1,0.0,0.0,2,0.001,0,2,0.0,0,818,AURA Fire,1,0.0,0.0
vexana,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,2,0.001,2,0.001,Namibia,1,0.0,0.0,2,0.001,0,2,0.0,0,622,Namibia,1,0.0,0.0
belerick,1984,0,0,0,0.0,0.0,0.0,,0,0.0,2,0.001,0,0.0,2,0.001,Namibia,2,0.0,0.0,2,0.001,0,2,0.0,0,638,Namibia,2,0.0,0.0
layla,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,TODAK,1,1.0,1.0,1,0.0005,1,0,1.0,742,0,TODAK,1,1.0,1.0
freya,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,Georgia,1,1.0,1.0,1,0.0005,1,0,1.0,536,0,Georgia,1,1.0,1.0
alucard,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,1,0.0005,1,0.0005,Bigetron Alpha,1,0.0,0.0,1,0.0005,0,1,0.0,0,668,Bigetron Alpha,1,0.0,0.0
sun,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,MPX NSEA,1,0.0,0.0,1,0.0005,0,1,0.0,0,1269,MPX NSEA,1,0.0,0.0
gatotkaca,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,Axe,1,0.0,0.0,1,0.0005,0,1,0.0,0,803,Axe,1,0.0,0.0
carmilla,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,Team Flash,1,0.0,0.0,1,0.0005,0,1,0.0,0,1373,Team Flash,1,0.0,0.0
aulus,1984,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0005,0,0.0,1,0.0005,Bigetron Alpha,1,0.0,0.0,1,0.0005,0,1,0.0,0,1775,Bigetron Alpha,1,0.0,0.0
miya,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
aurora,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
harley,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
argus,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
zhask,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
chang'e,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
kimmy,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
silvanna,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
cici,1984,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
